interaction_key,client_key,date_key,channel,direction,interaction_type,intent_category,is_incoming,is_outgoing,is_reminder
ANON-026100EE,ANON-56A53EF6,2026-06-13,sms,outgoing,appointment_reminder,unclassified,0,1,1
ANON-60327002,ANON-56A53EF6,2026-06-27,sms,outgoing,appointment_reminder,unclassified,0,1,1
ANON-B37E4798,ANON-56A53EF6,2026-06-28,sms,outgoing,follow_up,unclassified,0,1,0
ANON-7A7C0F90,ANON-257A18D7,2026-09-09,sms,outgoing,appointment_reminder,unclassified,0,1,1
ANON-75180E23,ANON-257A18D7,2026-07-07,sms,outgoing,appointment_reminder,unclassified,0,1,1
ANON-F1F88EB7,ANON-257A18D7,2026-09-29,sms,outgoing,appointment_reminder,unclassified,0,1,1
ANON-8BB51C27,ANON-257A18D7,2026-08-07,sms,outgoing,appointment_reminder,unclassified,0,1,1
ANON-AD12E830,ANON-257A18D7,2026-09-18,sms,outgoing,appointment_reminder,unclassified,0,1,1
ANON-CEF16649,ANON-C70DECBE,2026-08-26,sms,outgoing,appointment_reminder,unclassified,0,1,1
ANON-49BAA269,ANON-C70DECBE,2026-06-25,sms,outgoing,appointment_reminder,unclassified,0,1,1
ANON-CC28639C,ANON-C70DECBE,2026-07-03,sms,outgoing,appointment_reminder,unclassified,0,1,1
ANON-04DEECD6,ANON-C70DECBE,2026-07-04,sms,outgoing,follow_up,unclassified,0,1,0
ANON-A048640A,ANON-C70DECBE,2026-09-27,sms,outgoing,appointment_reminder,unclassified,0,1,1
ANON-A1D8A81E,ANON-C70DECBE,2026-07-08,sms,outgoing,appointment_reminder,unclassified,0,1,1
ANON-EA3F10EF,ANON-C70DECBE,2026-07-19,sms,outgoing,appointment_reminder,unclassified,0,1,1
ANON-B79EA409,ANON-669022AE,2026-09-12,sms,outgoing,appointment_reminder,unclassified,0,1,1
ANON-06A896D7,ANON-669022AE,2026-09-13,sms,outgoing,follow_up,unclassified,0,1,0
ANON-D03D959E,ANON-669022AE,2026-09-19,sms,outgoing,appointment_reminder,unclassified,0,1,1
ANON-F71DE4BF,ANON-669022AE,2026-07-05,sms,outgoing,appointment_reminder,unclassified,0,1,1
ANON-6934D5C4,ANON-308D95E0,2026-10-15,sms,outgoing,appointment_reminder,unclassified,0,1,1
ANON-D8E879E9,ANON-308D95E0,2026-07-27,sms,outgoing,appointment_reminder,unclassified,0,1,1
ANON-1F19F337,ANON-308D95E0,2026-07-28,sms,outgoing,follow_up,unclassified,0,1,0
ANON-50CBDB14,ANON-308D95E0,2026-10-13,sms,outgoing,appointment_reminder,unclassified,0,1,1
ANON-A39C680C,ANON-308D95E0,2026-07-05,sms,outgoing,appointment_reminder,unclassified,0,1,1
ANON-40FA6454,ANON-308D95E0,2026-09-05,sms,outgoing,appointment_reminder,unclassified,0,1,1
ANON-77D7927B,ANON-AE0F568F,2026-09-29,sms,outgoing,appointment_reminder,unclassified,0,1,1
ANON-3A90CA12,ANON-AE0F568F,2026-10-03,sms,outgoing,appointment_reminder,unclassified,0,1,1
ANON-A25BC537,ANON-AE0F568F,2026-08-20,sms,outgoing,appointment_reminder,unclassified,0,1,1
ANON-DE94B853,ANON-AE0F568F,2026-09-20,sms,outgoing,appointment_reminder,unclassified,0,1,1
ANON-176AF0DF,ANON-AE0F568F,2026-06-05,sms,outgoing,appointment_reminder,unclassified,0,1,1
ANON-77A06154,ANON-AE0F568F,2026-06-06,sms,outgoing,follow_up,unclassified,0,1,0
ANON-85AB1866,ANON-AE0F568F,2026-08-14,sms,outgoing,appointment_reminder,unclassified,0,1,1
ANON-25E52170,ANON-D81449F9,2026-10-05,sms,outgoing,appointment_reminder,unclassified,0,1,1
ANON-F058745A,ANON-D81449F9,2026-08-25,sms,outgoing,appointment_reminder,unclassified,0,1,1
ANON-53A928B9,ANON-D81449F9,2026-09-06,sms,outgoing,appointment_reminder,unclassified,0,1,1
ANON-78092C44,ANON-D81449F9,2026-09-22,sms,outgoing,appointment_reminder,unclassified,0,1,1
ANON-B3639410,ANON-3E35047E,2026-08-08,sms,outgoing,appointment_reminder,unclassified,0,1,1
ANON-D82E70F3,ANON-3E35047E,2026-06-27,sms,outgoing,appointment_reminder,unclassified,0,1,1
ANON-78C652A6,ANON-3E35047E,2026-09-04,sms,outgoing,appointment_reminder,unclassified,0,1,1
ANON-C07A1E5D,ANON-C629E20A,2026-07-19,sms,outgoing,appointment_reminder,unclassified,0,1,1
ANON-77768D78,ANON-C629E20A,2026-07-20,sms,outgoing,follow_up,unclassified,0,1,0
ANON-62846231,ANON-C629E20A,2026-06-09,sms,outgoing,appointment_reminder,unclassified,0,1,1
ANON-BFCAB31E,ANON-C629E20A,2026-06-10,sms,outgoing,follow_up,unclassified,0,1,0
ANON-81484600,ANON-C629E20A,2026-06-24,sms,outgoing,appointment_reminder,unclassified,0,1,1
ANON-DD6DA328,ANON-C629E20A,2026-08-06,sms,outgoing,appointment_reminder,unclassified,0,1,1
ANON-C44FC383,ANON-C629E20A,2026-08-07,sms,outgoing,follow_up,unclassified,0,1,0
ANON-C0D6EEB6,ANON-AC5FAEAD,2026-09-24,sms,outgoing,appointment_reminder,unclassified,0,1,1
ANON-E4E32F33,ANON-AC5FAEAD,2026-06-24,sms,outgoing,appointment_reminder,unclassified,0,1,1
ANON-B6899114,ANON-AC5FAEAD,2026-09-16,sms,outgoing,appointment_reminder,unclassified,0,1,1
ANON-E97222A7,ANON-AC5FAEAD,2026-09-11,sms,outgoing,appointment_reminder,unclassified,0,1,1
ANON-7F2ED0FA,ANON-AC5FAEAD,2026-09-25,sms,outgoing,appointment_reminder,unclassified,0,1,1
ANON-29C87F0A,ANON-ED865047,2026-06-17,sms,outgoing,appointment_reminder,unclassified,0,1,1
ANON-E102B9D6,ANON-ED865047,2026-06-18,sms,outgoing,follow_up,unclassified,0,1,0
ANON-19245EED,ANON-ED865047,2026-10-13,sms,outgoing,appointment_reminder,unclassified,0,1,1
ANON-B6A8AE92,ANON-A4179A7D,2026-07-29,sms,outgoing,appointment_reminder,unclassified,0,1,1
ANON-15827196,ANON-A4179A7D,2026-07-12,sms,outgoing,appointment_reminder,unclassified,0,1,1
ANON-3907675B,ANON-F576CF3C,2026-06-28,sms,outgoing,appointment_reminder,unclassified,0,1,1
ANON-471008FF,ANON-F576CF3C,2026-06-01,sms,outgoing,appointment_reminder,unclassified,0,1,1
ANON-291B6F0A,ANON-F576CF3C,2026-06-02,sms,outgoing,follow_up,unclassified,0,1,0
ANON-FBAD6127,ANON-F576CF3C,2026-06-19,sms,outgoing,appointment_reminder,unclassified,0,1,1
ANON-E3E33700,ANON-F576CF3C,2026-06-20,sms,outgoing,follow_up,unclassified,0,1,0
ANON-9A624604,ANON-F576CF3C,2026-06-28,sms,outgoing,appointment_reminder,unclassified,0,1,1
ANON-3D193E22,ANON-F576CF3C,2026-10-17,sms,outgoing,appointment_reminder,unclassified,0,1,1
ANON-846464A2,ANON-D838387B,2026-07-05,sms,outgoing,appointment_reminder,unclassified,0,1,1
ANON-EFA56248,ANON-D838387B,2026-09-17,sms,outgoing,appointment_reminder,unclassified,0,1,1
ANON-8292B97B,ANON-D838387B,2026-09-15,sms,outgoing,appointment_reminder,unclassified,0,1,1
ANON-97D11704,ANON-D838387B,2026-09-16,sms,outgoing,follow_up,unclassified,0,1,0
ANON-6E8DA199,ANON-D838387B,2026-07-09,sms,outgoing,appointment_reminder,unclassified,0,1,1
ANON-231909C8,ANON-4DFAF53F,2026-09-28,sms,outgoing,appointment_reminder,unclassified,0,1,1
ANON-B748F81B,ANON-4DFAF53F,2026-10-09,sms,outgoing,appointment_reminder,unclassified,0,1,1
ANON-3DFBE096,ANON-4DFAF53F,2026-08-03,sms,outgoing,appointment_reminder,unclassified,0,1,1
ANON-9D63B4AD,ANON-10A73A8B,2026-09-19,sms,outgoing,appointment_reminder,unclassified,0,1,1
ANON-E0C9FF43,ANON-10A73A8B,2026-09-18,sms,outgoing,appointment_reminder,unclassified,0,1,1
ANON-5E57AFB4,ANON-10A73A8B,2026-10-18,sms,outgoing,appointment_reminder,unclassified,0,1,1
ANON-78F5E73D,ANON-190F66DD,2026-09-02,sms,outgoing,appointment_reminder,unclassified,0,1,1
ANON-4D41AA55,ANON-190F66DD,2026-09-03,sms,outgoing,follow_up,unclassified,0,1,0
ANON-D5AF9F17,ANON-190F66DD,2026-08-03,sms,outgoing,appointment_reminder,unclassified,0,1,1
ANON-1199AE04,ANON-37240C32,2026-06-28,sms,outgoing,appointment_reminder,unclassified,0,1,1
ANON-AB43349A,ANON-37240C32,2026-08-14,sms,outgoing,appointment_reminder,unclassified,0,1,1
ANON-67F3FB7B,ANON-37240C32,2026-06-22,sms,outgoing,appointment_reminder,unclassified,0,1,1
ANON-C58C8803,ANON-D62A6003,2026-07-15,sms,outgoing,appointment_reminder,unclassified,0,1,1
ANON-EFAF3B8A,ANON-D62A6003,2026-08-30,sms,outgoing,appointment_reminder,unclassified,0,1,1
ANON-A414E9A4,ANON-D62A6003,2026-10-03,sms,outgoing,appointment_reminder,unclassified,0,1,1
ANON-9A424A40,ANON-EEDDAA47,2026-09-30,sms,outgoing,appointment_reminder,unclassified,0,1,1
ANON-9AB168A3,ANON-EEDDAA47,2026-07-28,sms,outgoing,appointment_reminder,unclassified,0,1,1
ANON-E15933FA,ANON-EEDDAA47,2026-08-06,sms,outgoing,appointment_reminder,unclassified,0,1,1
ANON-2273444C,ANON-EEDDAA47,2026-09-20,sms,outgoing,appointment_reminder,unclassified,0,1,1
ANON-CC13F050,ANON-B0A242FC,2026-09-08,sms,outgoing,appointment_reminder,unclassified,0,1,1
ANON-0E252160,ANON-B0A242FC,2026-09-09,sms,outgoing,follow_up,unclassified,0,1,0
ANON-EEA76ECE,ANON-B0A242FC,2026-09-30,sms,outgoing,appointment_reminder,unclassified,0,1,1
ANON-9CA56D6C,ANON-B0A242FC,2026-07-13,sms,outgoing,appointment_reminder,unclassified,0,1,1
ANON-A8E7FEA0,ANON-B0A242FC,2026-08-14,sms,outgoing,appointment_reminder,unclassified,0,1,1
ANON-13A292B1,ANON-8F01DEB0,2026-08-06,sms,outgoing,appointment_reminder,unclassified,0,1,1
ANON-4BCE8A14,ANON-8F01DEB0,2026-07-26,sms,outgoing,appointment_reminder,unclassified,0,1,1
ANON-D9836B0C,ANON-8F01DEB0,2026-10-03,sms,outgoing,appointment_reminder,unclassified,0,1,1
ANON-119B15B7,ANON-8F01DEB0,2026-09-02,sms,outgoing,appointment_reminder,unclassified,0,1,1
ANON-8ABB8C99,ANON-8F01DEB0,2026-10-02,sms,outgoing,appointment_reminder,unclassified,0,1,1
ANON-EDEBB25F,ANON-D6F5144C,2026-09-24,sms,outgoing,appointment_reminder,unclassified,0,1,1
ANON-90B96A42,ANON-D6F5144C,2026-06-18,sms,outgoing,appointment_reminder,unclassified,0,1,1
ANON-A19FACAD,ANON-D6F5144C,2026-08-03,sms,outgoing,appointment_reminder,unclassified,0,1,1
ANON-3AE4ECB6,ANON-D6F5144C,2026-09-26,sms,outgoing,appointment_reminder,unclassified,0,1,1
ANON-24E3EB8D,ANON-D6F5144C,2026-06-16,sms,outgoing,appointment_reminder,unclassified,0,1,1
ANON-310931A5,ANON-15D3B0A2,2026-06-17,sms,outgoing,appointment_reminder,unclassified,0,1,1
ANON-90B4A42B,ANON-15D3B0A2,2026-06-18,sms,outgoing,follow_up,unclassified,0,1,0
ANON-FA94A55C,ANON-15D3B0A2,2026-10-04,sms,outgoing,appointment_reminder,unclassified,0,1,1
ANON-7BA222B2,ANON-15D3B0A2,2026-09-15,sms,outgoing,appointment_reminder,unclassified,0,1,1
ANON-34B2EF5A,ANON-15D3B0A2,2026-06-04,sms,outgoing,appointment_reminder,unclassified,0,1,1
ANON-BBEF76CE,ANON-15D3B0A2,2026-06-05,sms,outgoing,follow_up,unclassified,0,1,0
ANON-E1B30C08,ANON-A811C0D7,2026-07-17,sms,outgoing,appointment_reminder,unclassified,0,1,1
ANON-44736A87,ANON-A811C0D7,2026-07-25,sms,outgoing,appointment_reminder,unclassified,0,1,1
ANON-F0F6EC65,ANON-A811C0D7,2026-07-20,sms,outgoing,appointment_reminder,unclassified,0,1,1
ANON-4E6B56E2,ANON-A811C0D7,2026-07-21,sms,outgoing,follow_up,unclassified,0,1,0
ANON-3FDB264C,ANON-A811C0D7,2026-10-11,sms,outgoing,appointment_reminder,unclassified,0,1,1
ANON-4D979D80,ANON-085C3C3A,2026-10-17,sms,outgoing,appointment_reminder,unclassified,0,1,1
ANON-C1E9F814,ANON-085C3C3A,2026-09-02,sms,outgoing,appointment_reminder,unclassified,0,1,1
ANON-FC40DF96,ANON-085C3C3A,2026-09-03,sms,outgoing,follow_up,unclassified,0,1,0
ANON-064DD487,ANON-12F7F8D7,2026-10-10,sms,outgoing,appointment_reminder,unclassified,0,1,1
ANON-DFC5034B,ANON-12F7F8D7,2026-09-20,sms,outgoing,appointment_reminder,unclassified,0,1,1
ANON-1D63EA31,ANON-12F7F8D7,2026-10-02,sms,outgoing,appointment_reminder,unclassified,0,1,1
ANON-33601CF5,ANON-36C7D3F1,2026-07-18,sms,outgoing,appointment_reminder,unclassified,0,1,1
ANON-8B35BDAD,ANON-36C7D3F1,2026-07-16,sms,outgoing,appointment_reminder,unclassified,0,1,1
ANON-C7E1A383,ANON-36C7D3F1,2026-08-07,sms,outgoing,appointment_reminder,unclassified,0,1,1
ANON-AC5088FB,ANON-36C7D3F1,2026-08-06,sms,outgoing,appointment_reminder,unclassified,0,1,1
ANON-476242B3,ANON-14A907F1,2026-09-10,sms,outgoing,appointment_reminder,unclassified,0,1,1
ANON-FF19B7F1,ANON-14A907F1,2026-10-17,sms,outgoing,appointment_reminder,unclassified,0,1,1
ANON-9AD57C13,ANON-564B9C41,2026-07-16,sms,outgoing,appointment_reminder,unclassified,0,1,1
ANON-0D6188FD,ANON-564B9C41,2026-06-03,sms,outgoing,appointment_reminder,unclassified,0,1,1
ANON-37BC223F,ANON-564B9C41,2026-06-04,sms,outgoing,follow_up,unclassified,0,1,0
ANON-1698B3BE,ANON-564B9C41,2026-08-01,sms,outgoing,appointment_reminder,unclassified,0,1,1
ANON-82FEEC5A,ANON-564B9C41,2026-09-14,sms,outgoing,appointment_reminder,unclassified,0,1,1
ANON-94E0EE68,ANON-564B9C41,2026-06-22,sms,outgoing,appointment_reminder,unclassified,0,1,1
ANON-FEAEAEB8,ANON-21609F5B,2026-10-01,sms,outgoing,appointment_reminder,unclassified,0,1,1
ANON-0CE0A707,ANON-21609F5B,2026-07-09,sms,outgoing,appointment_reminder,unclassified,0,1,1
ANON-C0DE4FF0,ANON-21609F5B,2026-09-05,sms,outgoing,appointment_reminder,unclassified,0,1,1
ANON-99A32DB8,ANON-21609F5B,2026-07-06,sms,outgoing,appointment_reminder,unclassified,0,1,1
ANON-0D2585DE,ANON-21609F5B,2026-08-29,sms,outgoing,appointment_reminder,unclassified,0,1,1
ANON-03EC5E59,ANON-21609F5B,2026-07-23,sms,outgoing,appointment_reminder,unclassified,0,1,1
ANON-16D76C54,ANON-90348246,2026-08-19,sms,outgoing,appointment_reminder,unclassified,0,1,1
ANON-45753598,ANON-90348246,2026-06-04,sms,outgoing,appointment_reminder,unclassified,0,1,1
ANON-7F68E52A,ANON-90348246,2026-06-03,sms,outgoing,appointment_reminder,unclassified,0,1,1
ANON-E1D4D8B7,ANON-90348246,2026-10-12,sms,outgoing,appointment_reminder,unclassified,0,1,1
ANON-A27BDCF9,ANON-CE864168,2026-10-05,sms,outgoing,appointment_reminder,unclassified,0,1,1
ANON-16112594,ANON-CE864168,2026-08-01,sms,outgoing,appointment_reminder,unclassified,0,1,1
ANON-6360080B,ANON-CE864168,2026-06-12,sms,outgoing,appointment_reminder,unclassified,0,1,1
ANON-C3C88BA6,ANON-CE864168,2026-06-13,sms,outgoing,follow_up,unclassified,0,1,0
ANON-A5022FA7,ANON-CE864168,2026-07-01,sms,outgoing,appointment_reminder,unclassified,0,1,1
ANON-F2C138E0,ANON-0253700F,2026-06-02,sms,outgoing,appointment_reminder,unclassified,0,1,1
ANON-50948FCC,ANON-0253700F,2026-06-03,sms,outgoing,follow_up,unclassified,0,1,0
ANON-DECAE8BD,ANON-0253700F,2026-07-13,sms,outgoing,appointment_reminder,unclassified,0,1,1
ANON-935C8711,ANON-0253700F,2026-07-10,sms,outgoing,appointment_reminder,unclassified,0,1,1
ANON-5FF71085,ANON-0253700F,2026-09-27,sms,outgoing,appointment_reminder,unclassified,0,1,1
ANON-0143DD72,ANON-0253700F,2026-09-07,sms,outgoing,appointment_reminder,unclassified,0,1,1
ANON-33B17851,ANON-0253700F,2026-06-18,sms,outgoing,appointment_reminder,unclassified,0,1,1
ANON-3611972A,ANON-93570E71,2026-09-17,sms,outgoing,appointment_reminder,unclassified,0,1,1
ANON-392BECF4,ANON-93570E71,2026-06-27,sms,outgoing,appointment_reminder,unclassified,0,1,1
ANON-D1EB341A,ANON-93570E71,2026-08-05,sms,outgoing,appointment_reminder,unclassified,0,1,1
ANON-F69CC154,ANON-93570E71,2026-06-08,sms,outgoing,appointment_reminder,unclassified,0,1,1
ANON-7A6D4004,ANON-93570E71,2026-06-09,sms,outgoing,follow_up,unclassified,0,1,0
ANON-04C94AAB,ANON-93570E71,2026-09-20,sms,outgoing,appointment_reminder,unclassified,0,1,1
ANON-56EBDC43,ANON-93570E71,2026-06-08,sms,outgoing,appointment_reminder,unclassified,0,1,1
ANON-9A6C7058,ANON-93570E71,2026-06-09,sms,outgoing,follow_up,unclassified,0,1,0
ANON-5CF8221B,ANON-DB027207,2026-08-10,sms,outgoing,appointment_reminder,unclassified,0,1,1
ANON-7CF01F9F,ANON-DB027207,2026-09-20,sms,outgoing,appointment_reminder,unclassified,0,1,1
ANON-13E82EAD,ANON-DB027207,2026-07-09,sms,outgoing,appointment_reminder,unclassified,0,1,1
ANON-DDE15EE4,ANON-DB027207,2026-10-06,sms,outgoing,appointment_reminder,unclassified,0,1,1
ANON-0580FD09,ANON-DB027207,2026-09-18,sms,outgoing,appointment_reminder,unclassified,0,1,1
ANON-187BF685,ANON-6D560816,2026-06-13,sms,outgoing,appointment_reminder,unclassified,0,1,1
ANON-A9880F03,ANON-6D560816,2026-07-27,sms,outgoing,appointment_reminder,unclassified,0,1,1
ANON-AED199C1,ANON-B8B69EEC,2026-07-22,sms,outgoing,appointment_reminder,unclassified,0,1,1
ANON-9B5C7976,ANON-B8B69EEC,2026-07-15,sms,outgoing,appointment_reminder,unclassified,0,1,1
ANON-4FB056F4,ANON-B8B69EEC,2026-06-11,sms,outgoing,appointment_reminder,unclassified,0,1,1
ANON-4BDA2C38,ANON-B8B69EEC,2026-06-12,sms,outgoing,follow_up,unclassified,0,1,0
ANON-6ED2577D,ANON-B8B69EEC,2026-08-09,sms,outgoing,appointment_reminder,unclassified,0,1,1
ANON-099F8484,ANON-B8B69EEC,2026-08-10,sms,outgoing,follow_up,unclassified,0,1,0
ANON-F3FE45B4,ANON-9952019B,2026-07-19,sms,outgoing,appointment_reminder,unclassified,0,1,1
ANON-DA916457,ANON-9952019B,2026-07-20,sms,outgoing,follow_up,unclassified,0,1,0
ANON-C81E0D9A,ANON-9952019B,2026-06-30,sms,outgoing,appointment_reminder,unclassified,0,1,1
ANON-EC641CB6,ANON-2C582F5D,2026-07-13,sms,outgoing,appointment_reminder,unclassified,0,1,1
ANON-4ED9BF88,ANON-2C582F5D,2026-07-14,sms,outgoing,follow_up,unclassified,0,1,0
ANON-91383A50,ANON-2C582F5D,2026-07-28,sms,outgoing,appointment_reminder,unclassified,0,1,1
ANON-7D49E787,ANON-2C582F5D,2026-07-29,sms,outgoing,follow_up,unclassified,0,1,0
ANON-4830EAA4,ANON-E72A5E9D,2026-06-24,sms,outgoing,appointment_reminder,unclassified,0,1,1
ANON-1B66C274,ANON-E72A5E9D,2026-09-16,sms,outgoing,appointment_reminder,unclassified,0,1,1
ANON-2DC926D0,ANON-F5FE7D5B,2026-09-26,sms,outgoing,appointment_reminder,unclassified,0,1,1
ANON-D3DD1E9F,ANON-F5FE7D5B,2026-07-26,sms,outgoing,appointment_reminder,unclassified,0,1,1
ANON-DDA2D828,ANON-F5FE7D5B,2026-06-17,sms,outgoing,appointment_reminder,unclassified,0,1,1
ANON-C53383DB,ANON-F5FE7D5B,2026-08-27,sms,outgoing,appointment_reminder,unclassified,0,1,1
ANON-AAA157FB,ANON-F5FE7D5B,2026-06-17,sms,outgoing,appointment_reminder,unclassified,0,1,1
ANON-C4D73009,ANON-F5FE7D5B,2026-06-18,sms,outgoing,follow_up,unclassified,0,1,0
ANON-BCE0BA76,ANON-F5FE7D5B,2026-08-06,sms,outgoing,appointment_reminder,unclassified,0,1,1
ANON-B543466B,ANON-1C01F1D3,2026-09-13,sms,outgoing,appointment_reminder,unclassified,0,1,1
ANON-48F721C3,ANON-1C01F1D3,2026-09-14,sms,outgoing,follow_up,unclassified,0,1,0
ANON-1D351997,ANON-1C01F1D3,2026-09-04,sms,outgoing,appointment_reminder,unclassified,0,1,1
ANON-3E314F17,ANON-1C01F1D3,2026-08-30,sms,outgoing,appointment_reminder,unclassified,0,1,1
ANON-C203FE51,ANON-7A21B250,2026-09-13,sms,outgoing,appointment_reminder,unclassified,0,1,1
ANON-674D4FDD,ANON-7A21B250,2026-08-24,sms,outgoing,appointment_reminder,unclassified,0,1,1
ANON-B8B829CF,ANON-7A21B250,2026-06-11,sms,outgoing,appointment_reminder,unclassified,0,1,1
ANON-8DFE93E8,ANON-04657C65,2026-08-21,sms,outgoing,appointment_reminder,unclassified,0,1,1
ANON-2C58E4CC,ANON-04657C65,2026-07-19,sms,outgoing,appointment_reminder,unclassified,0,1,1
ANON-E1925015,ANON-9CA20B0F,2026-09-09,sms,outgoing,appointment_reminder,unclassified,0,1,1
ANON-8F38EF1B,ANON-9CA20B0F,2026-09-10,sms,outgoing,follow_up,unclassified,0,1,0
ANON-F04CD2DF,ANON-9CA20B0F,2026-07-23,sms,outgoing,appointment_reminder,unclassified,0,1,1
ANON-A7D2CF31,ANON-9CA20B0F,2026-08-22,sms,outgoing,appointment_reminder,unclassified,0,1,1
ANON-D8983BA6,ANON-9CA20B0F,2026-06-11,sms,outgoing,appointment_reminder,unclassified,0,1,1
ANON-E3522041,ANON-29CF1308,2026-07-08,sms,outgoing,appointment_reminder,unclassified,0,1,1
ANON-D892E652,ANON-29CF1308,2026-07-09,sms,outgoing,follow_up,unclassified,0,1,0
ANON-28450073,ANON-29CF1308,2026-07-12,sms,outgoing,appointment_reminder,unclassified,0,1,1
ANON-8E375F86,ANON-29CF1308,2026-08-31,sms,outgoing,appointment_reminder,unclassified,0,1,1
ANON-9A4B110F,ANON-29CF1308,2026-08-30,sms,outgoing,appointment_reminder,unclassified,0,1,1
ANON-2E6087BC,ANON-CECCA29F,2026-07-31,sms,outgoing,appointment_reminder,unclassified,0,1,1
ANON-3FC1DCD1,ANON-CECCA29F,2026-08-01,sms,outgoing,follow_up,unclassified,0,1,0
ANON-2CFBCA4F,ANON-CECCA29F,2026-09-21,sms,outgoing,appointment_reminder,unclassified,0,1,1
ANON-3A7CFD9C,ANON-CECCA29F,2026-06-17,sms,outgoing,appointment_reminder,unclassified,0,1,1
ANON-A1C66557,ANON-3ED1BF95,2026-08-02,sms,outgoing,appointment_reminder,unclassified,0,1,1
ANON-B6255998,ANON-3ED1BF95,2026-09-15,sms,outgoing,appointment_reminder,unclassified,0,1,1
ANON-CC6A1ECF,ANON-3ED1BF95,2026-09-16,sms,outgoing,follow_up,unclassified,0,1,0
ANON-859874A9,ANON-3ED1BF95,2026-08-02,sms,outgoing,appointment_reminder,unclassified,0,1,1
ANON-B505099A,ANON-3ED1BF95,2026-10-13,sms,outgoing,appointment_reminder,unclassified,0,1,1
